* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, graveyard:altar, HEADING, header:ignore, 0, 0, 0
81, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
82, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
83, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
84, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
85, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
86, minecraft:mineshaft, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
87, minecraft:mineshaft, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
88, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
89, bettermineshafts:mineshaft_acacia, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
90, bettermineshafts:mineshaft_acacia, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
91, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
92, bettermineshafts:mineshaft_desert, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
93, bettermineshafts:mineshaft_desert, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
94, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
95, bettermineshafts:mineshaft_dripstone, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
96, bettermineshafts:mineshaft_dripstone, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
97, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
98, bettermineshafts:mineshaft_ice, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
99, bettermineshafts:mineshaft_ice, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
100, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
101, bettermineshafts:mineshaft_jungle, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
102, bettermineshafts:mineshaft_jungle, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
103, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
104, bettermineshafts:mineshaft_lush, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
105, bettermineshafts:mineshaft_lush, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
106, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
107, bettermineshafts:mineshaft_mesa, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
108, bettermineshafts:mineshaft_mesa, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
109, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
110, minecraft:mineshaft_mesa, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
111, minecraft:mineshaft_mesa, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
112, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
113, bettermineshafts:mineshaft_mushroom, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
114, bettermineshafts:mineshaft_mushroom, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
115, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
116, bettermineshafts:mineshaft_oak, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
117, bettermineshafts:mineshaft_oak, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
118, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
119, bettermineshafts:mineshaft_overgrown, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
120, bettermineshafts:mineshaft_overgrown, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
121, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
122, bettermineshafts:mineshaft_red_desert, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
123, bettermineshafts:mineshaft_red_desert, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
124, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
125, bettermineshafts:mineshaft_spruce, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
126, bettermineshafts:mineshaft_spruce, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
127, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
128, bettermineshafts:mineshaft_spruce_snowy, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
129, bettermineshafts:mineshaft_spruce_snowy, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
130, minecraft:monument, HEADING, header:ignore, 0, 0, 0
131, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
132, minecraft:monument, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
133, watching:mossy_pyramid, HEADING, header:ignore, 0, 0, 0
135, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
136, nyctophobia:mushroom_structure, HEADING, header:ignore, 0, 0, 0
137, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
140, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
141, minecraft:ocean_ruin_cold, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
142, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
143, minecraft:ocean_ruin_warm, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
144, watching:ocean_sand_pyramid, HEADING, header:ignore, 0, 0, 0
145, aquamirae:outpost, HEADING, header:ignore, 0, 0, 0
146, aquamirae:outpost, MONSTER, minecraft:pillager, 10, 1, 2
147, aquamirae:outpost, MONSTER, minecraft:vindicator, 10, 1, 1
148, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
149, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
150, minecraft:pillager_outpost, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
151, watching:redstone_torch_trail, HEADING, header:ignore, 0, 0, 0
152, terralith:rubble_desert, HEADING, header:ignore, 0, 0, 0
153, terralith:rubble_forest, HEADING, header:ignore, 0, 0, 0
154, terralith:rubble_jungle, HEADING, header:ignore, 0, 0, 0
155, terralith:rubble_mesa, HEADING, header:ignore, 0, 0, 0
156, terralith:rubble_mountain, HEADING, header:ignore, 0, 0, 0
157, terralith:rubble_taiga, HEADING, header:ignore, 0, 0, 0
158, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
159, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
160, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
161, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
162, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
163, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
164, minecraft:ruined_portal_ocean, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
165, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
166, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
167, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
168, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
169, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
170, watching:sand_pyramid, HEADING, header:ignore, 0, 0, 0
171, fishofthieves:seapost, HEADING, header:ignore, 0, 0, 0
172, aquamirae:shelter, HEADING, header:ignore, 0, 0, 0
173, aquamirae:ship, HEADING, header:ignore, 0, 0, 0
174, aquamirae:ship, MONSTER, minecraft:pillager, 10, 1, 2
175, aquamirae:ship, MONSTER, minecraft:vindicator, 10, 1, 1
176, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
177, minecraft:shipwreck, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
178, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
179, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
180, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 12
181, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
182, graveyard:small_desert_graveyard, HEADING, header:ignore, 0, 0, 0
183, graveyard:small_desert_graveyard, MONSTER, minecraft:vindicator, 10, 1, 1
184, graveyard:small_desert_graveyard, MONSTER, minecraft:pillager, 10, 1, 1
185, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
186, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
187, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
188, graveyard:small_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
189, graveyard:small_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
190, graveyard:small_graveyard, MONSTER, graveyard:ghoul, 50, 1, 2
191, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
192, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
193, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
194, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
195, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 12
196, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
197, terralith:spire, HEADING, header:ignore, 0, 0, 0
198, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
199, minecraft:stronghold, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
200, minecraft:stronghold, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
201, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
202, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
203, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
204, underground_jungle:temple, HEADING, header:ignore, 0, 0, 0
205, underground_jungle:temple, MONSTER, underground_jungle:mossy_skeleton, 10, 1, 1
206, watching:torch_cave, HEADING, header:ignore, 0, 0, 0
207, watching:torch_tunnel/1x2/torchless_tunnel, HEADING, header:ignore, 0, 0, 0
208, watching:torch_tunnel/1x2/tunnel, HEADING, header:ignore, 0, 0, 0
209, watching:torch_tunnel/2x2_tunnel, HEADING, header:ignore, 0, 0, 0
210, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
211, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
212, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
213, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
214, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
215, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
216, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
217, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
218, underground_bunkers:underground_bunker, HEADING, header:ignore, 0, 0, 0
219, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
220, underground_villages:underground_village, HEADING, header:ignore, 0, 0, 0
221, terralith:valley_lodge, HEADING, header:ignore, 0, 0, 0
222, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
223, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
224, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
225, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
226, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
227, terralith:witch_hut, HEADING, header:ignore, 0, 0, 0
228, terralith:witch_hut, MONSTER, minecraft:witch, 10, 1, 2
229, terralith:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
230, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
231, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 12
