* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
* Note to Katu: look for [^.*(heyword).*\n?] when mass deleting lines. Omit []. Alt+Enter to select all and Delete to del.
*
1, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
48, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
49, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
50, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
51, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
52, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
53, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
55, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
56, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
57, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
58, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
59, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
60, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
61, none, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 2, 2
62, none, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 2, 2
63, none, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 2, 2
64, none, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 10, 2, 2
65, none, terralith:alpha_islands_winter, CREATURE, minecraft:wolf, 10, 2, 2
66, none, terralith:alpha_islands_winter, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
67, none, terralith:alpha_islands_winter, AMBIENT, distantfriends:friend, 20, 1, 2
68, none, terralith:alpha_islands_winter, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
69, none, terralith:alpha_islands_winter, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
70, none, terralith:alpha_islands_winter, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
71, none, terralith:alpha_islands_winter, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
72, none, terralith:alpha_islands_winter, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
73, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
74, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
75, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
76, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
77, forest, terralith:alpine_grove, MONSTER, minecraft:creeper, 80, 4, 4
78, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
79, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 5, 1, 4
80, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
81, forest, terralith:alpine_grove, MONSTER, graveyard:nightmare, 10, 1, 1
82, forest, terralith:alpine_grove, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
83, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
84, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
85, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
86, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
87, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
88, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
89, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
90, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
91, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
92, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
94, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
95, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
96, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
97, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
98, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
99, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
102, forest, terralith:alpine_grove, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
104, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 4, 4
105, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 4, 4
106, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 4, 4
107, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 10, 4, 4
108, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 10, 2, 2
109, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 10, 2, 3
110, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 10, 1, 2
111, forest, terralith:alpine_grove, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
112, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
113, forest, terralith:alpine_grove, AMBIENT, distantfriends:friend, 20, 1, 2
115, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
116, forest, terralith:alpine_grove, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
117, forest, terralith:alpine_grove, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
118, forest, terralith:alpine_grove, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
119, forest, terralith:alpine_grove, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
120, forest, terralith:alpine_grove, WATER_AMBIENT, fishofthieves:pondie, 15, 2, 4
121, forest, terralith:alpine_grove, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
122, none, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
123, none, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
124, none, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
125, none, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
126, none, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
127, none, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
128, none, terralith:alpine_highlands, MONSTER, minecraft:enderman, 5, 1, 4
129, none, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
130, none, terralith:alpine_highlands, MONSTER, graveyard:nightmare, 10, 1, 1
131, none, terralith:alpine_highlands, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
132, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
133, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
134, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
135, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
136, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
137, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
138, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
139, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
140, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
141, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
143, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
144, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
145, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
146, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
147, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
148, none, terralith:alpine_highlands, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
149, none, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 4, 4
150, none, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 4, 4
151, none, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 4, 4
152, none, terralith:alpine_highlands, CREATURE, minecraft:cow, 10, 4, 4
153, none, terralith:alpine_highlands, CREATURE, minecraft:horse, 10, 1, 3
154, none, terralith:alpine_highlands, CREATURE, minecraft:donkey, 10, 1, 3
155, none, terralith:alpine_highlands, CREATURE, minecraft:wolf, 10, 4, 4
156, none, terralith:alpine_highlands, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
157, none, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
158, none, terralith:alpine_highlands, AMBIENT, distantfriends:friend, 20, 1, 2
159, none, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
160, none, terralith:alpine_highlands, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
161, none, terralith:alpine_highlands, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
162, none, terralith:alpine_highlands, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
163, none, terralith:alpine_highlands, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
164, none, terralith:alpine_highlands, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
165, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
166, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
167, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
168, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
169, jungle, terralith:amethyst_canyon, MONSTER, minecraft:creeper, 80, 4, 4
170, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
171, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 5, 1, 4
172, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
173, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 10, 1, 3
174, jungle, terralith:amethyst_canyon, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
175, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
176, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
177, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
178, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
179, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
180, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
181, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
182, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
183, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
184, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
186, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
187, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
188, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
189, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
190, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
191, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
193, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:corpse_fly, 20, 2, 4
194, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:swarmer, 20, 1, 2
196, jungle, terralith:amethyst_canyon, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
198, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 4, 4
199, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 4, 4
200, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
201, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 10, 4, 4
202, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 2, 2
203, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
204, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 10, 1, 2
205, jungle, terralith:amethyst_canyon, CREATURE, minecraft:wolf, 10, 4, 4
206, jungle, terralith:amethyst_canyon, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
207, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
208, jungle, terralith:amethyst_canyon, AMBIENT, distantfriends:friend, 20, 1, 2
210, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
211, jungle, terralith:amethyst_canyon, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
212, jungle, terralith:amethyst_canyon, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
213, jungle, terralith:amethyst_canyon, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
214, jungle, terralith:amethyst_canyon, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
215, jungle, terralith:amethyst_canyon, WATER_AMBIENT, fishofthieves:islehopper, 10, 2, 4
216, jungle, terralith:amethyst_canyon, WATER_AMBIENT, fishofthieves:wildsplash, 10, 2, 4
217, jungle, terralith:amethyst_canyon, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
218, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
219, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
220, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
221, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
222, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:creeper, 80, 4, 4
223, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
224, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
225, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
226, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
227, jungle, terralith:amethyst_rainforest, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
228, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
229, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
230, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
231, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
232, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
233, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
234, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
235, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
236, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
237, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
239, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
240, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
241, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
242, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
243, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
244, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
246, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:corpse_fly, 20, 2, 4
247, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:swarmer, 20, 1, 2
249, jungle, terralith:amethyst_rainforest, MONSTER, born_in_chaos_v1:door_knight, 30, 1, 1
251, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 4, 4
252, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 4, 4
253, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
254, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 10, 4, 4
255, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 2, 2
256, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
257, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 10, 1, 2
258, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:wolf, 10, 4, 4
259, jungle, terralith:amethyst_rainforest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
260, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
261, jungle, terralith:amethyst_rainforest, AMBIENT, distantfriends:friend, 20, 1, 2
263, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
264, jungle, terralith:amethyst_rainforest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
265, jungle, terralith:amethyst_rainforest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
266, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
267, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
268, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, fishofthieves:islehopper, 10, 2, 4
269, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, fishofthieves:wildsplash, 10, 2, 4
270, jungle, terralith:amethyst_rainforest, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
271, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
272, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
273, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
274, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
275, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
276, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
277, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 4
278, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
279, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:drowned, 10, 1, 1
280, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
281, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
282, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
283, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
284, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
285, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
286, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 4
287, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
288, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
289, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
290, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
291, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
292, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
293, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
294, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
295, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
296, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
297, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
299, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
300, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
301, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
